employee_id,location_number,first_name,middle_name,last_name,salary,position,date_of_birth,phone_number,email_address
2001,1,Alan,B.,Richards,55000.00,Manager,1985-02-17,416-555-1212,alan.richards@driveease.com
2002,2,Samantha,C.,Blake,45000.00,Janitor,1990-07-25,416-555-2323,samantha.blake@driveease.com
2003,3,Peter,D.,Jones,60000.00,Manager,1983-12-10,416-555-3434,peter.jones@driveease.com
2004,4,Jessica,E.,Roberts,52000.00,Assistant,1995-04-04,403-555-4545,jessica.roberts@driveease.com
2005,5,Ryan,F.,Stewart,48000.00,Salesperson,1995-04-04,403-555-4545,ryan.stewart@driveease.com
2006,1,Daniel,A.,Smith,60000.00,Manager,1988-01-15,416-555-1616,daniel.smith@driveease.com
2007,2,Emily,B.,Johnson,38000.00,Janitor,1995-03-22,416-555-1717,emily.johnson@driveease.com
2008,3,Matthew,C.,Williams,55000.00,Manager,1984-05-30,416-555-1818,matthew.williams@driveease.com
2009,4,Olivia,D.,Jones,49000.00,Assistant,1992-07-14,403-555-1919,olivia.jones@driveease.com
2010,5,Lucas,E.,Brown,45000.00,Salesperson,1989-08-19,403-555-2020,lucas.brown@driveease.com
2011,1,Sophia,F.,Davis,67000.00,Manager,1990-12-01,416-555-2121,sophia.davis@driveease.com
2012,2,James,G.,Miller,42000.00,Janitor,1996-06-05,416-555-2222,james.miller@driveease.com
2013,3,Ava,H.,Garcia,63000.00,Manager,1982-11-25,416-555-2323,ava.garcia@driveease.com
2014,4,Charlotte,I.,Martinez,52000.00,Assistant,1993-09-15,403-555-2424,charlotte.martinez@driveease.com
2015,5,Noah,J.,Hernandez,46000.00,Salesperson,1985-02-27,403-555-2525,noah.hernandez@driveease.com
2016,1,Amelia,K.,Lopez,58000.00,Manager,1981-04-18,416-555-2626,amelia.lopez@driveease.com
2017,2,Elijah,L.,Gonzalez,37000.00,Janitor,1998-08-22,416-555-2727,elijah.gonzalez@driveease.com
2018,3,Harper,M.,Wilson,59000.00,Manager,1986-03-16,416-555-2828,harper.wilson@driveease.com
2019,4,Jack,N.,Anderson,50000.00,Assistant,1994-05-05,403-555-2929,jack.anderson@driveease.com
2020,5,Grace,O.,Thomas,48000.00,Salesperson,1990-11-12,403-555-3030,grace.thomas@driveease.com
2021,1,Ethan,P.,Taylor,64000.00,Manager,1987-12-30,416-555-3131,ethan.taylor@driveease.com
2022,2,Chloe,Q.,Moore,43000.00,Janitor,1999-02-24,416-555-3232,chloe.moore@driveease.com
2023,3,Mason,R.,Jackson,61000.00,Manager,1983-07-19,416-555-3333,mason.jackson@driveease.com
2024,4,Zoe,S.,Martin,52000.00,Assistant,1992-01-10,403-555-3434,zoe.martin@driveease.com
2025,5,Liam,T.,Lee,46000.00,Salesperson,1989-04-28,403-555-3535,liam.lee@driveease.com
2026,1,Lily,U.,Perez,60000.00,Manager,1984-05-02,416-555-3636,lily.perez@driveease.com
2027,2,Alexander,V.,Thompson,38000.00,Janitor,1996-09-15,416-555-3737,alexander.thompson@driveease.com
2028,3,Sofia,W.,White,67000.00,Manager,1982-08-08,416-555-3838,sofia.white@driveease.com
2029,4,Matthew,X.,Harris,53000.00,Assistant,1990-03-20,403-555-3939,matthew.harris@driveease.com
2030,5,Victoria,Y.,Clark,48000.00,Salesperson,1986-11-23,403-555-4040,victoria.clark@driveease.com
